time,redemption_price,twap
2021-11-25T05:11:43Z,3.028151745,3.02609017
2021-11-25T05:35:15Z,3.028151745,3.02609017
2021-11-25T05:42:32Z,3.028151745,3.02609017
2021-11-25T06:01:14Z,3.028151745,3.02609017
2021-11-25T06:04:01Z,3.028151745,3.02609017
2021-11-25T06:31:01Z,3.028151745,3.02609017
2021-11-25T06:44:36Z,3.028151745,3.02609017
2021-11-25T07:05:43Z,3.028179182,3.02609017
2021-11-25T07:12:30Z,3.028179182,3.02609017
2021-11-25T07:57:17Z,3.02818206,3.02609017
2021-11-25T08:08:47Z,3.02818206,3.02609017
2021-11-25T08:17:05Z,3.02818206,3.02609017
2021-11-25T08:38:49Z,3.02818206,3.02609017
2021-11-25T08:43:39Z,3.02818206,3.02609017
2021-11-25T09:03:05Z,3.02818206,3.02609017
2021-11-25T09:06:44Z,3.02818206,3.02609017
2021-11-25T09:07:56Z,3.02818206,3.02609017
2021-11-25T09:39:50Z,3.02818206,3.02609017
2021-11-25T09:42:43Z,3.02818206,3.02609017
2021-11-25T09:45:35Z,3.02818206,3.02609017
2021-11-25T09:51:19Z,3.02818206,3.02609017
2021-11-25T09:56:11Z,3.02818206,3.02489604
2021-11-25T10:20:48Z,3.02818206,3.02489604
2021-11-25T10:42:58Z,3.02818206,3.02489604
2021-11-25T10:44:23Z,3.02818206,3.02489604
2021-11-25T11:10:33Z,3.02818206,3.02489604
2021-11-25T11:34:55Z,3.02818206,3.02489604
2021-11-25T11:55:23Z,3.02818206,3.02489604
2021-11-25T12:10:46Z,3.02818206,3.02489604
2021-11-25T12:13:57Z,3.02818206,3.02489604
2021-11-25T12:14:52Z,3.02818206,3.02489604
2021-11-25T12:18:00Z,3.02818206,3.02489604
2021-11-25T12:34:31Z,3.02818206,3.02489604
2021-11-25T12:39:51Z,3.02818206,3.02489604
2021-11-25T12:51:33Z,3.02818206,3.02489604
2021-11-25T13:14:22Z,3.02818206,3.02489604
2021-11-25T13:18:35Z,3.02818206,3.02489604
2021-11-25T13:19:57Z,3.02818206,3.02489604
2021-11-25T13:41:38Z,3.02818206,3.02489604
2021-11-25T13:43:58Z,3.02818206,3.02489604
2021-11-25T14:05:22Z,3.02818206,3.02489604
2021-11-25T14:09:31Z,3.02818206,3.02489604
2021-11-25T14:19:10Z,3.02818206,3.02489604
2021-11-25T14:25:32Z,3.02818206,3.02489604
2021-11-25T14:34:29Z,3.02818206,3.02489604
2021-11-25T14:44:54Z,3.02818206,3.02489604
2021-11-25T15:05:47Z,3.028194311,3.02489604
2021-11-25T15:27:04Z,3.028194311,3.02489604
2021-11-25T15:44:38Z,3.028194311,3.02489604
2021-11-25T15:49:39Z,3.028194311,3.02489604
2021-11-25T15:58:27Z,3.028194311,3.02489604
2021-11-25T16:00:08Z,3.028194311,3.02489604
2021-11-25T16:06:27Z,3.028194311,3.02489604
2021-11-25T16:51:51Z,3.028194311,3.02489604
2021-11-25T16:59:47Z,3.028194311,3.02489604
2021-11-25T17:54:58Z,3.028194311,3.02489604
2021-11-25T17:59:08Z,3.028194311,3.02489604
2021-11-25T18:04:29Z,3.028194311,3.02489604
2021-11-25T18:07:00Z,3.028194311,3.02489604
2021-11-25T18:16:53Z,3.028194311,3.02489604
2021-11-25T18:30:26Z,3.028194311,3.02489604
2021-11-25T19:02:15Z,3.028194311,3.02489604
2021-11-25T19:07:32Z,3.028194311,3.02489604
2021-11-25T19:09:58Z,3.028194311,3.02489604
2021-11-25T19:26:51Z,3.028194311,3.02489604
2021-11-25T20:09:07Z,3.028194311,3.02489604
2021-11-25T20:28:14Z,3.028194311,3.02489604
2021-11-25T23:05:53Z,3.028207997,3.02489604
2021-11-25T23:09:18Z,3.028207997,3.02489604
2021-11-25T23:18:00Z,3.028207997,3.02489604
2021-11-25T23:22:03Z,3.028207997,3.02489604
2021-11-25T23:26:59Z,3.028207997,3.02489604
2021-11-25T23:41:14Z,3.028207997,3.02489604
2021-11-25T23:43:16Z,3.028207997,3.02489604
2021-11-25T23:47:37Z,3.028207997,3.02489604
