timestamp,marketPrice,redemptionPrice,redemptionRate,transactionHash,address,blockNumber,ts,prop_term,integral_term,sg,ag,pscl,p_rate_delta,i_rate_delta,total_rate,p_rate,i_rate,redemptionRate_apy,total_rate_apy,p_rate_apy,i_rate_apy,apy_diff
2022-02-24 09:26:01,3.03049458,3.0212996340154947,999999999300954007303425545,0xcb8e5a79f178e0c7d46dcf33f454e8f70d4e48c8ea4fa9b7c99273e49c7ba851,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14268005,1645694761,-9194945984505482233211269,-392710160777637000525451516121,75000000000,24000,999999711200000000000000000,-6.896209488379112e+17,-9425043858663288.0,9.99999999300954e+26,9.99999999310379e+26,9.99999999990575e+26,-2.180389711711074665647814530,-2.1803896651139842,-2.1513106918395124,-0.029718306356502508,-4.6597090256976133140E-8
2022-02-24 21:55:57,3.0308945599999997,3.0212046027250636,999999999253631219236365096,0x6ca61adca88fe6bfccdda2e896ba8e00da638f838d35defdb829ee96c0323c76,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14271372,1645739757,-9689957274936392769622360,-817582714308560304339202478865,75000000000,24000,999999711200000000000000000,-7.267467956202295e+17,-1.962198514340545e+16,9.999999992536312e+26,9.999999992732532e+26,9.99999999980378e+26,-2.326264028514800289381041920,-2.3262641512570013,-2.2658049310930215,-0.0618608666878858,1.22742201119397729980E-7
2022-02-25 09:56:02,3.03225532,3.021107179924384,999999999133463789233039638,0xcb91c2fe588429d5cddeaf1f23ac9b372f6ce1ced548963ceb490512abf294ac,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14274548,1645782962,-11148140075615834763831251,-1267737712323864799630634088890,75000000000,24000,999999711200000000000000000,-8.361105056711876e+17,-3.0425705095772756e+16,9.999999991334638e+26,9.999999991638895e+26,9.999999999695743e+26,-2.695707961228764347623655940,-2.695708029814721,-2.6022993250304425,-0.09590442490827839,6.8585956777507662620E-8
2022-02-25 22:25:41,3.03228944,3.020989431750334,999999999109957333017006409,0xc44bf496d3a6630dd5be9f8e11fce832a5e337813024f23c7ebde9af9b05ce4e,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14277969,1645827941,-11300008249665955221851363,-1772585344085289615513643236443,75000000000,24000,999999711200000000000000000,-8.475006187249467e+17,-4.254204825804694e+16,9.999999991099573e+26,9.999999991524993e+26,9.99999999957458e+26,-2.767812865402514083562661000,-2.7678129427508162,-2.637278169271975,-0.13407058770936098,7.7348302258868008810E-8
2022-02-26 10:26:02,3.0324070499999998,3.0208732209505262,999999999080577957648527355,0x0b7ba8a234f5f4b19fbe09b68dad93f2f6068ceb8be586d67503c03f108c1eb6,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14281161,1645871162,-11533829049474028596599999,-2266035985038354235822286394944,75000000000,24000,999999711200000000000000000,-8.65037178710552e+17,-5.4384863640920504e+16,9.99999999080578e+26,9.999999991349628e+26,9.999999999456151e+26,-2.857857542937046227794156050,-2.8578575823570023,-2.6911079642435283,-0.17136113101368003,3.9419955998251544530E-8
2022-02-26 22:56:04,3.03061759,3.020748232397132,999999999193855081675235325,0xe8b89602588938c6594a3a8327654adaabfe8491e0b3feffaa733823d03c70a6,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14284558,1645916164,-9869357602867997648692859,-2747629087902702168367620992802,75000000000,24000,999999711200000000000000000,-7.402018202150998e+17,-6.594309810966485e+16,9.999999991938551e+26,9.999999992597982e+26,9.99999999934057e+26,-2.510215377269374505243669050,-2.5102152279833208,-2.3072663987143924,-0.20774199025605988,-1.49286053963763566710E-7
2022-02-27 11:26:15,3.02916856,3.0206386253612285,999999999284373757465430911,0x0d3c412062086a83fa9215aa43b2bf2f03cd804e6f9f00a304062928bc6ecdce,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14287944,1645961175,-8529934638771242036050603,-3161714359446914077092614976843,75000000000,24000,999999711200000000000000000,-6.397450979078432e+17,-7.588114462672594e+16,9.999999992843738e+26,9.99999999360255e+26,9.999999999241189e+26,-2.231523747378263538779069020,-2.2315236181504123,-1.9972846919883493,-0.23901268987925706,-1.29227851134131570440E-7
2022-02-27 23:55:47,3.0307455500000002,3.020541413279521,999999999148698497451300537,0xf860d247be64e055d2765eba018c4ba1f2179018c462577ad73dfcb5ecdf4cf8,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14291324,1646006147,-10204136720479398509035097,-3582968688031023980389412027043,75000000000,24000,999999711200000000000000000,-7.653102540359548e+17,-8.599124851274458e+16,9.999999991486985e+26,9.999999992346898e+26,9.999999999140087e+26,-2.648947684129015904550077160,-2.6489477912549626,-2.3845908416658665,-0.2708147736780603,1.07125946609175566660E-7
2022-02-28 12:26:10,3.03152029,3.0204256437411345,999999999070403060799407470,0x443f783634699c86508452dfe63d674db276068c0f9a840ff3a2715656a2a356,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14294641,1646051170,-11094646258865326723129349,-4062436241070542762453281953172,75000000000,24000,999999711200000000000000000,-8.320984694148995e+17,-9.749846978569304e+16,9.99999999070403e+26,9.999999991679016e+26,9.999999999025015e+26,-2.889023080669921274530894430,-2.8890230703249666,-2.5899751891880247,-0.30699908091522654,-1.0344954570412400210E-8
2022-03-01 00:55:55,3.0323586099999997,3.0202993384691745,999999998985557217501196420,0x621333f0d1966a61e2d1f73c1a26b21297881fba601084ea586a23d16efd2eaf,0x7Acfc14dBF2decD1c9213Db32AE7784626daEb48,14298007,1646096155,-12059271530825065162450595,-4583225736955153901939688843592,75000000000,24000,999999711200000000000000000,-9.0444536481188e+17,-1.099974176869237e+17,9.999999989855572e+26,9.999999990955547e+26,9.999999998900025e+26,-3.148515461077792823450702780,-3.148515551685296,-2.8119659359047073,-0.3462870905020793,9.0607502823163271550E-8
