block,ts,price
13058063,2021-08-19 21:01:19 UTC,3157110000000000000000
13057766,2021-08-19 20:03:35 UTC,3112510000000000000000
13057500,2021-08-19 19:01:29 UTC,3052370000000000000000
13057214,2021-08-19 18:01:07 UTC,3051430000000000000000
13056958,2021-08-19 17:03:30 UTC,3051430000000000000000
13056740,2021-08-19 16:14:26 UTC,3051430000000000000000
13056384,2021-08-19 15:01:23 UTC,2986106160700000000000
13056126,2021-08-19 14:01:19 UTC,2986106160700000000000
13055844,2021-08-19 13:02:07 UTC,2986106160700000000000
13055567,2021-08-19 12:02:00 UTC,3016600000000000000000
13055304,2021-08-19 11:01:27 UTC,3016600000000000000000
13055036,2021-08-19 10:02:02 UTC,3016600000000000000000
13054797,2021-08-19 09:04:18 UTC,2979630000000000000000
13054502,2021-08-19 08:02:31 UTC,3010370000000000000000
13054229,2021-08-19 07:01:22 UTC,3010370000000000000000
13053988,2021-08-19 06:05:20 UTC,2967280000000000000000
13053686,2021-08-19 05:04:06 UTC,3005500000000000000000
13053376,2021-08-19 04:02:25 UTC,3038314367916000000000
13053113,2021-08-19 03:03:14 UTC,3038314367916000000000
13052846,2021-08-19 02:03:57 UTC,3003400000000000000000
13052589,2021-08-19 01:05:25 UTC,3039880000000000000000
13052306,2021-08-19 00:02:44 UTC,3039880000000000000000
13052087,2021-08-18 23:08:08 UTC,3005480000000000000000
13051801,2021-08-18 22:04:30 UTC,3036365783220000000000
13051540,2021-08-18 21:04:57 UTC,3036365783220000000000
13051257,2021-08-18 20:01:26 UTC,3074649175200000000000
13050994,2021-08-18 19:05:05 UTC,3110690000000000000000
13050694,2021-08-18 18:02:58 UTC,3110690000000000000000
13050572,2021-08-18 17:31:47 UTC,3110690000000000000000
13050262,2021-08-18 16:22:38 UTC,3061280000000000000000
13049917,2021-08-18 15:01:29 UTC,3061280000000000000000
13049636,2021-08-18 14:01:17 UTC,3028160000000000000000
13049378,2021-08-18 13:01:38 UTC,3028160000000000000000
13049107,2021-08-18 12:04:27 UTC,3033760000000000000000
13048854,2021-08-18 11:03:17 UTC,3033760000000000000000
13048579,2021-08-18 10:01:28 UTC,3033760000000000000000
13048310,2021-08-18 09:01:30 UTC,3033760000000000000000
13048046,2021-08-18 08:01:21 UTC,3078610000000000000000
13047794,2021-08-18 07:02:32 UTC,3078610000000000000000
13047508,2021-08-18 06:01:44 UTC,3040600000000000000000
13047251,2021-08-18 05:03:40 UTC,3040600000000000000000
13046991,2021-08-18 04:05:33 UTC,3040600000000000000000
13046701,2021-08-18 03:01:08 UTC,3009728617949999700000
13046428,2021-08-18 02:01:12 UTC,2993420000000000000000
13046174,2021-08-18 01:04:47 UTC,3025723792410000000000
13045898,2021-08-18 00:00:56 UTC,3025723792410000000000
13045651,2021-08-17 23:01:43 UTC,3025723792410000000000
13045365,2021-08-17 22:01:14 UTC,3056590000000000000000
13045074,2021-08-17 21:01:14 UTC,3126010000000000000000
13044793,2021-08-17 20:02:42 UTC,3158240000000000000000
13044477,2021-08-17 19:01:14 UTC,3158240000000000000000
13044184,2021-08-17 18:01:15 UTC,3190230000000000000000
13043953,2021-08-17 17:03:47 UTC,3190230000000000000000
13043678,2021-08-17 16:01:22 UTC,3190230000000000000000
13043453,2021-08-17 15:12:03 UTC,3238203493820000000000
13043151,2021-08-17 14:04:07 UTC,3280630712000000000000
13042860,2021-08-17 13:01:16 UTC,3241460000000000000000
13042597,2021-08-17 12:01:20 UTC,3241460000000000000000
13042305,2021-08-17 11:01:15 UTC,3241460000000000000000
13042050,2021-08-17 10:01:12 UTC,3168691335540000000000
13041794,2021-08-17 09:01:23 UTC,3168691335540000000000
13041534,2021-08-17 08:01:32 UTC,3168691335540000000000
13041263,2021-08-17 07:01:27 UTC,3187280000000000000000
13040991,2021-08-17 06:02:18 UTC,3187280000000000000000
13040739,2021-08-17 05:02:04 UTC,3187280000000000000000
13040453,2021-08-17 04:01:08 UTC,3187280000000000000000
13040184,2021-08-17 03:01:34 UTC,3154010000000000000000
13039924,2021-08-17 02:01:11 UTC,3154010000000000000000
13039681,2021-08-17 01:02:54 UTC,3154010000000000000000
13039389,2021-08-17 00:01:21 UTC,3187800000000000000000
13039106,2021-08-16 23:01:20 UTC,3187800000000000000000
13038863,2021-08-16 22:07:02 UTC,3152910000000000000000
13038577,2021-08-16 21:01:16 UTC,3221830000000000000000
13038297,2021-08-16 20:01:23 UTC,3221830000000000000000
13038014,2021-08-16 19:01:21 UTC,3204950000000000000000
13037716,2021-08-16 18:01:28 UTC,3204950000000000000000
13037451,2021-08-16 17:00:44 UTC,3204950000000000000000
13037183,2021-08-16 16:01:14 UTC,3243560000000000000000
13036942,2021-08-16 15:01:20 UTC,3243560000000000000000
13036678,2021-08-16 14:01:11 UTC,3303890000000000000000
13036486,2021-08-16 13:14:49 UTC,3303890000000000000000
13036163,2021-08-16 12:01:30 UTC,3281550000000000000000
13035866,2021-08-16 11:01:17 UTC,3281550000000000000000
13035592,2021-08-16 10:01:27 UTC,3281550000000000000000
13035339,2021-08-16 09:01:25 UTC,3281550000000000000000
13035067,2021-08-16 08:01:09 UTC,3266000000000000000000
13034787,2021-08-16 07:01:45 UTC,3266000000000000000000
13034514,2021-08-16 06:01:08 UTC,3266000000000000000000
13034212,2021-08-16 05:01:18 UTC,3310780000000000000000
13033966,2021-08-16 04:01:37 UTC,3310780000000000000000
13033714,2021-08-16 03:01:18 UTC,3302790000000000000000
13033466,2021-08-16 02:03:09 UTC,3302790000000000000000
13033266,2021-08-16 01:21:46 UTC,3302790000000000000000
13032888,2021-08-16 00:01:21 UTC,3302790000000000000000
13032662,2021-08-15 23:11:59 UTC,3265440000000000000000
13032360,2021-08-15 22:01:28 UTC,3225047669760000000000
13032083,2021-08-15 21:01:00 UTC,3192000000000000000000
13031804,2021-08-15 20:01:14 UTC,3192000000000000000000
13031606,2021-08-15 19:15:31 UTC,3157330000000000000000
13031257,2021-08-15 18:01:01 UTC,3157090000000000000000
13030998,2021-08-15 17:01:20 UTC,3157090000000000000000
13030774,2021-08-15 16:12:19 UTC,3192590000000000000000
13030456,2021-08-15 15:01:22 UTC,3154050000000000000000
13030176,2021-08-15 14:05:23 UTC,3154050000000000000000
13029928,2021-08-15 13:05:11 UTC,3154050000000000000000
13029650,2021-08-15 12:02:07 UTC,3170510000000000000000
13029357,2021-08-15 11:01:19 UTC,3170510000000000000000
13029089,2021-08-15 10:02:08 UTC,3170510000000000000000
13028802,2021-08-15 09:01:09 UTC,3170510000000000000000
13028551,2021-08-15 08:01:32 UTC,3239700000000000000000
13028285,2021-08-15 07:05:25 UTC,3239700000000000000000
13028042,2021-08-15 06:03:43 UTC,3239700000000000000000
13027742,2021-08-15 05:01:14 UTC,3274090000000000000000
13027510,2021-08-15 04:01:18 UTC,3274090000000000000000
13027244,2021-08-15 03:02:24 UTC,3274090000000000000000
13026990,2021-08-15 02:05:38 UTC,3267630000000000000000
13026723,2021-08-15 01:01:22 UTC,3267630000000000000000
13026464,2021-08-15 00:00:44 UTC,3267630000000000000000
13026177,2021-08-14 23:01:21 UTC,3252930000000000000000
13025882,2021-08-14 22:01:09 UTC,3252930000000000000000
13025607,2021-08-14 21:01:16 UTC,3252930000000000000000
13025378,2021-08-14 20:12:02 UTC,3252930000000000000000
13025034,2021-08-14 19:01:14 UTC,3258860000000000000000
13024777,2021-08-14 18:01:16 UTC,3258860000000000000000
13024556,2021-08-14 17:10:52 UTC,3258860000000000000000
13024247,2021-08-14 16:01:26 UTC,3258860000000000000000
13023975,2021-08-14 15:05:46 UTC,3220140000000000000000
13023720,2021-08-14 14:05:54 UTC,3220140000000000000000
13023434,2021-08-14 13:01:19 UTC,3220140000000000000000
13023168,2021-08-14 12:01:05 UTC,3259390000000000000000
13022872,2021-08-14 11:01:07 UTC,3301045777800000000000
13022607,2021-08-14 10:06:01 UTC,3301045777800000000000
13022323,2021-08-14 09:01:14 UTC,3301045777800000000000
13022062,2021-08-14 08:01:26 UTC,3301045777800000000000
13021794,2021-08-14 07:01:34 UTC,3303950000000000000000
13021526,2021-08-14 06:00:49 UTC,3303950000000000000000
13021275,2021-08-14 05:02:23 UTC,3303950000000000000000
13021013,2021-08-14 04:01:20 UTC,3313780000000000000000
13020757,2021-08-14 03:02:11 UTC,3313780000000000000000
13020509,2021-08-14 02:01:30 UTC,3313780000000000000000
13020243,2021-08-14 01:01:22 UTC,3313780000000000000000
13019968,2021-08-14 00:01:24 UTC,3269383595316479000000
13019696,2021-08-13 23:05:26 UTC,3269383595316479000000
13019474,2021-08-13 22:13:18 UTC,3269383595316479000000
13019159,2021-08-13 21:01:25 UTC,3236454378880000000000
13018884,2021-08-13 20:05:01 UTC,3236454378880000000000
13018619,2021-08-13 19:02:57 UTC,3236454378880000000000
13018326,2021-08-13 18:01:25 UTC,3193780000000000000000
13018068,2021-08-13 17:01:08 UTC,3193780000000000000000
13017792,2021-08-13 16:01:19 UTC,3233638814719999600000
13017517,2021-08-13 15:01:25 UTC,3233638814719999600000
13017250,2021-08-13 14:01:11 UTC,3233638814719999600000
13016956,2021-08-13 13:01:19 UTC,3233638814719999600000
13016707,2021-08-13 12:05:07 UTC,3247700000000000000000
13016399,2021-08-13 11:01:09 UTC,3247700000000000000000
13016144,2021-08-13 10:01:20 UTC,3247700000000000000000
13015890,2021-08-13 09:01:29 UTC,3215320000000000000000
13015608,2021-08-13 08:01:16 UTC,3183470000000000000000
13015341,2021-08-13 07:05:22 UTC,3135745000000000000000
13015065,2021-08-13 06:01:07 UTC,3101245000000000000000
13014790,2021-08-13 05:01:31 UTC,3132905000000000000000
13014527,2021-08-13 04:01:28 UTC,3088990000000000000000
13014268,2021-08-13 03:00:48 UTC,3088990000000000000000
13013981,2021-08-13 02:01:17 UTC,3056760000000000000000
13013737,2021-08-13 01:02:44 UTC,3023120000000000000000
13013510,2021-08-13 00:05:29 UTC,3023120000000000000000
13013198,2021-08-12 23:01:12 UTC,3060110000000000000000
13012944,2021-08-12 22:01:14 UTC,3060110000000000000000
13012683,2021-08-12 21:00:56 UTC,3060110000000000000000
13012420,2021-08-12 20:01:26 UTC,3060110000000000000000
13012131,2021-08-12 19:01:20 UTC,3018740000000000000000
13011843,2021-08-12 18:00:57 UTC,2987960000000000000000
13011599,2021-08-12 17:08:36 UTC,3066510000000000000000
13011324,2021-08-12 16:02:44 UTC,3066510000000000000000
13011052,2021-08-12 15:04:19 UTC,3114280000000000000000
13010783,2021-08-12 14:02:19 UTC,3082705656660000000000
13010514,2021-08-12 13:05:11 UTC,3130200000000000000000
13010226,2021-08-12 12:01:29 UTC,3161850000000000000000
13009961,2021-08-12 11:01:08 UTC,3161850000000000000000
13009673,2021-08-12 10:01:10 UTC,3131085260364000500000
13009376,2021-08-12 09:01:05 UTC,3131085260364000500000
13009153,2021-08-12 08:02:28 UTC,3131085260364000500000
13008898,2021-08-12 07:01:23 UTC,3131085260364000500000
13008616,2021-08-12 06:01:14 UTC,3211951372560000000000
13008362,2021-08-12 05:01:07 UTC,3211951372560000000000
13008065,2021-08-12 04:01:43 UTC,3211951372560000000000
13007784,2021-08-12 03:01:19 UTC,3211951372560000000000
13007509,2021-08-12 02:01:46 UTC,3171000000000000000000
13007264,2021-08-12 01:06:02 UTC,3171000000000000000000
13006982,2021-08-12 00:02:45 UTC,3171000000000000000000
13006711,2021-08-11 23:01:26 UTC,3206500129880000000000
13006453,2021-08-11 22:01:13 UTC,3245440000000000000000
13006193,2021-08-11 21:01:17 UTC,3245440000000000000000
13005948,2021-08-11 20:02:20 UTC,3245440000000000000000
13005687,2021-08-11 19:08:30 UTC,3253980000000000000000
13005375,2021-08-11 18:02:24 UTC,3253980000000000000000
13005065,2021-08-11 17:01:20 UTC,3253980000000000000000
13004832,2021-08-11 16:06:45 UTC,3253980000000000000000
13004586,2021-08-11 15:06:02 UTC,3228260000000000000000
13004345,2021-08-11 14:08:06 UTC,3228260000000000000000
13004035,2021-08-11 13:01:14 UTC,3228260000000000000000
13003743,2021-08-11 12:01:26 UTC,3228260000000000000000
13003472,2021-08-11 11:02:09 UTC,3241240000000000000000
13003201,2021-08-11 10:01:26 UTC,3241240000000000000000
13002941,2021-08-11 09:02:05 UTC,3241240000000000000000
13002692,2021-08-11 08:03:13 UTC,3169940000000000000000
13002429,2021-08-11 07:01:23 UTC,3164950000000000000000
13002179,2021-08-11 06:01:36 UTC,3164950000000000000000
13001898,2021-08-11 05:01:15 UTC,3130480000000000000000
13001630,2021-08-11 04:01:35 UTC,3130480000000000000000
13001357,2021-08-11 03:01:41 UTC,3173177021800000000000
13001086,2021-08-11 02:01:54 UTC,3135200000000000000000
13000837,2021-08-11 01:01:47 UTC,3135200000000000000000
13000581,2021-08-11 00:01:21 UTC,3169692333600000000000
13000307,2021-08-10 23:01:36 UTC,3169692333600000000000
13000096,2021-08-10 22:13:11 UTC,3133580000000000000000
12999759,2021-08-10 21:01:19 UTC,3133580000000000000000
12999516,2021-08-10 20:05:40 UTC,3098210000000000000000
12999261,2021-08-10 19:05:11 UTC,3098210000000000000000
12998950,2021-08-10 18:01:36 UTC,3066500000000000000000
12998689,2021-08-10 17:01:36 UTC,3131000000000000000000
12998401,2021-08-10 16:01:28 UTC,3170474507399999800000
12998135,2021-08-10 15:01:34 UTC,3170474507399999800000
12997852,2021-08-10 14:01:11 UTC,3135000000000000000000
12997560,2021-08-10 13:01:23 UTC,3135000000000000000000
12997290,2021-08-10 12:05:26 UTC,3145361222400000000000
12996990,2021-08-10 11:01:16 UTC,3145361222400000000000
12996716,2021-08-10 10:00:59 UTC,3145361222400000000000
12996456,2021-08-10 09:02:12 UTC,3109990000000000000000
12996181,2021-08-10 08:01:12 UTC,3109990000000000000000
12995928,2021-08-10 07:02:25 UTC,3109990000000000000000
12995652,2021-08-10 06:01:38 UTC,3109990000000000000000
12995405,2021-08-10 05:02:37 UTC,3118540000000000000000
12995128,2021-08-10 04:01:33 UTC,3118540000000000000000
12994843,2021-08-10 03:01:45 UTC,3118540000000000000000
12994602,2021-08-10 02:01:33 UTC,3150398025300000400000
12994325,2021-08-10 01:01:23 UTC,3144160000000000000000
12994074,2021-08-10 00:01:29 UTC,3144160000000000000000
12993811,2021-08-09 23:02:13 UTC,3071590000000000000000
12993541,2021-08-09 22:01:13 UTC,3105740000000000000000
12993268,2021-08-09 21:01:45 UTC,3144060000000000000000
12993019,2021-08-09 20:01:22 UTC,3179000000000000000000
12992740,2021-08-09 19:02:40 UTC,3137940000000000000000
12992494,2021-08-09 18:11:00 UTC,3137940000000000000000
12992175,2021-08-09 17:01:14 UTC,3137940000000000000000
12991883,2021-08-09 16:01:25 UTC,3133501949199999700000
12991624,2021-08-09 15:01:33 UTC,3133501949199999700000
12991381,2021-08-09 14:01:14 UTC,3133501949199999700000
12991091,2021-08-09 13:01:11 UTC,3133501949199999700000
12990792,2021-08-09 12:01:27 UTC,3097810000000000000000
12990510,2021-08-09 11:01:27 UTC,3015000000000000000000
12990227,2021-08-09 10:01:32 UTC,2949730000000000000000
12989977,2021-08-09 09:01:47 UTC,2934060000000000000000
12989733,2021-08-09 08:05:04 UTC,2934060000000000000000
12989461,2021-08-09 07:01:16 UTC,2934060000000000000000
12989183,2021-08-09 06:01:21 UTC,2934060000000000000000
12988918,2021-08-09 05:01:36 UTC,2939092618800000000000
12988642,2021-08-09 04:01:15 UTC,2939092618800000000000
12988386,2021-08-09 03:01:28 UTC,2939092618800000000000
12988122,2021-08-09 02:01:31 UTC,2939092618800000000000
12987873,2021-08-09 01:06:01 UTC,3014870000000000000000
12987595,2021-08-09 00:05:17 UTC,3054519144319999700000
12987323,2021-08-08 23:04:24 UTC,3021800000000000000000
12987046,2021-08-08 22:05:26 UTC,2986400000000000000000
12986774,2021-08-08 21:04:14 UTC,2986400000000000000000
12986496,2021-08-08 20:02:39 UTC,2989390125620000600000
12986230,2021-08-08 19:01:33 UTC,2989390125620000600000
12986029,2021-08-08 18:17:35 UTC,3029970000000000000000
12985707,2021-08-08 17:01:14 UTC,3029970000000000000000
12985437,2021-08-08 16:02:20 UTC,3068050000000000000000
12985149,2021-08-08 15:01:36 UTC,3133500000000000000000
12984834,2021-08-08 14:01:09 UTC,3133500000000000000000
12984567,2021-08-08 13:01:18 UTC,3090270000000000000000
12984310,2021-08-08 12:01:22 UTC,3090270000000000000000
12984036,2021-08-08 11:01:17 UTC,3152974082320000000000
12983764,2021-08-08 10:01:48 UTC,3152974082320000000000
12983469,2021-08-08 09:01:14 UTC,3152974082320000000000
12983163,2021-08-08 08:01:16 UTC,3152974082320000000000
12982928,2021-08-08 07:01:11 UTC,3119100000000000000000
12982676,2021-08-08 06:01:22 UTC,3108760000000000000000
12982383,2021-08-08 05:01:10 UTC,3108760000000000000000
12982090,2021-08-08 04:01:47 UTC,3108760000000000000000
12981842,2021-08-08 03:01:07 UTC,3108760000000000000000
12981575,2021-08-08 02:01:19 UTC,3148800000000000000000
12981343,2021-08-08 01:02:00 UTC,3148800000000000000000
12981090,2021-08-08 00:04:00 UTC,3107510000000000000000
12980813,2021-08-07 23:01:18 UTC,3116900000000000000000
12980538,2021-08-07 22:03:17 UTC,3083950000000000000000
12980262,2021-08-07 21:01:16 UTC,3043000000000000000000
12980001,2021-08-07 20:01:00 UTC,3043000000000000000000
12979752,2021-08-07 19:06:10 UTC,3043000000000000000000
12979467,2021-08-07 18:01:13 UTC,3075260000000000000000
12979190,2021-08-07 17:01:06 UTC,3076953922800000300000
12978900,2021-08-07 16:01:57 UTC,3076953922800000300000
12978632,2021-08-07 15:01:00 UTC,3076953922800000300000
12978370,2021-08-07 14:01:13 UTC,3114250000000000000000
12978076,2021-08-07 13:02:31 UTC,3074370000000000000000
12977810,2021-08-07 12:01:27 UTC,3074370000000000000000
12977506,2021-08-07 11:01:15 UTC,3035000000000000000000
12977242,2021-08-07 10:01:37 UTC,2961540027270000300000
12976997,2021-08-07 09:01:14 UTC,2979420000000000000000
12976727,2021-08-07 08:01:23 UTC,2979420000000000000000
12976444,2021-08-07 07:01:15 UTC,2979420000000000000000
12976159,2021-08-07 06:02:04 UTC,2979420000000000000000
12975897,2021-08-07 05:01:07 UTC,2913500000000000000000
12975639,2021-08-07 04:01:18 UTC,2913500000000000000000
12975350,2021-08-07 03:01:09 UTC,2913500000000000000000
12975107,2021-08-07 02:01:28 UTC,2913500000000000000000
12974827,2021-08-07 01:07:38 UTC,2896527803580000000000
12974523,2021-08-07 00:01:08 UTC,2896527803580000000000
12974246,2021-08-06 23:02:47 UTC,2896527803580000000000
12973959,2021-08-06 22:01:24 UTC,2896527803580000000000
12973687,2021-08-06 21:02:32 UTC,2932680000000000000000
12973424,2021-08-06 20:01:16 UTC,2899800000000000000000
12973170,2021-08-06 19:01:25 UTC,2899800000000000000000
12972916,2021-08-06 18:05:16 UTC,2867960000000000000000
12972642,2021-08-06 17:01:09 UTC,2814200000000000000000
12972389,2021-08-06 16:07:13 UTC,2784620000000000000000
12972088,2021-08-06 15:01:15 UTC,2784620000000000000000
12971815,2021-08-06 14:01:11 UTC,2784620000000000000000
12971563,2021-08-06 13:01:16 UTC,2745720000000000000000
12971300,2021-08-06 12:01:15 UTC,2745720000000000000000
12971029,2021-08-06 11:01:08 UTC,2784391142943232400000
12970761,2021-08-06 10:01:20 UTC,2784391142943232400000
12970494,2021-08-06 09:03:35 UTC,2784391142943232400000
12970238,2021-08-06 08:01:29 UTC,2784391142943232400000
12969967,2021-08-06 07:00:48 UTC,2779302379999999600000
12969695,2021-08-06 06:01:10 UTC,2779302379999999600000
12969405,2021-08-06 05:01:41 UTC,2779302379999999600000
12969139,2021-08-06 04:05:29 UTC,2779302379999999600000
12968870,2021-08-06 03:01:15 UTC,2810900000000000000000
12968596,2021-08-06 02:01:22 UTC,2812070000000000000000
12968344,2021-08-06 01:01:09 UTC,2812070000000000000000
12968074,2021-08-06 00:01:42 UTC,2820000000000000000000
12967784,2021-08-05 23:01:21 UTC,2820000000000000000000
12967530,2021-08-05 22:02:13 UTC,2820000000000000000000
12967255,2021-08-05 21:01:15 UTC,2820000000000000000000
12966995,2021-08-05 20:01:28 UTC,2785110000000000000000
12966714,2021-08-05 19:01:00 UTC,2785110000000000000000
12966447,2021-08-05 18:01:19 UTC,2751890000000000000000
12966184,2021-08-05 17:07:07 UTC,2751890000000000000000
12965900,2021-08-05 16:01:29 UTC,2790006591470000000000
12965645,2021-08-05 15:01:31 UTC,2662890000000000000000
12965383,2021-08-05 14:05:29 UTC,2603900000000000000000
