time,eth_usd
2021-03-01T23:38:26Z,1561.05
2021-03-01T23:40:28Z,1561.05
2021-03-01T23:42:31Z,1560.38
2021-03-01T23:44:33Z,1560.38
2021-03-01T23:46:36Z,1564.26
2021-03-01T23:48:39Z,1564.26
2021-03-01T23:50:42Z,1565.9
2021-03-01T23:52:45Z,1565.9
2021-03-01T23:54:48Z,1570.4
2021-03-01T23:56:51Z,1570.4
2021-03-01T23:58:54Z,1569.16
2021-03-02T00:00:57Z,1569.91
2021-03-02T00:02:59Z,1569.91
2021-03-02T00:05:03Z,1569.91
2021-03-02T00:07:06Z,1577.74
2021-03-02T00:09:08Z,1577.74
2021-03-02T00:11:15Z,1577.74
2021-03-02T00:13:18Z,1578.45
2021-03-02T00:15:21Z,1578.45
2021-03-02T00:17:24Z,1584.93
2021-03-02T00:19:27Z,1584.93
2021-03-02T00:21:29Z,1587.64
2021-03-02T00:23:32Z,1587.64
2021-03-02T00:25:34Z,1587.64
2021-03-02T00:27:37Z,1591.64
2021-03-02T00:29:40Z,1591.64
2021-03-02T00:31:43Z,1603.64
2021-03-02T00:33:46Z,1603.64
2021-03-02T00:35:48Z,1600.82
2021-03-02T00:37:50Z,1600.82
2021-03-02T00:39:53Z,1600.82
2021-03-02T00:42:01Z,1587.98
2021-03-02T00:44:04Z,1587.98
2021-03-02T00:46:06Z,1587.98
2021-03-02T00:48:09Z,1587.98
2021-03-02T00:50:12Z,1587.98
2021-03-02T00:52:15Z,1577.92
2021-03-02T00:54:18Z,1577.92
2021-03-02T00:56:20Z,1577.92
2021-03-02T00:58:24Z,1560.73
2021-03-02T01:00:27Z,1560.73
2021-03-02T01:02:30Z,1560.73
2021-03-02T01:04:32Z,1560.73
2021-03-02T01:06:35Z,1561.88
2021-03-02T01:08:37Z,1561.88
2021-03-02T01:10:40Z,1561.88
2021-03-02T01:12:43Z,1561.88
2021-03-02T01:14:45Z,1556.18
2021-03-02T01:16:48Z,1556.18
2021-03-02T01:18:51Z,1556.18
2021-03-02T01:20:54Z,1550.75
2021-03-02T01:22:56Z,1550.75
2021-03-02T01:24:59Z,1550.55
2021-03-02T01:27:02Z,1550.55
2021-03-02T01:29:05Z,1550.55
2021-03-02T01:31:08Z,1558.82
2021-03-02T01:33:11Z,1558.82
2021-03-02T01:35:16Z,1554.14
2021-03-02T01:37:19Z,1554.14
2021-03-02T01:39:22Z,1551.19
2021-03-02T01:41:25Z,1551.19
2021-03-02T01:43:29Z,1551.8
2021-03-02T01:45:35Z,1551.8
2021-03-02T01:47:38Z,1555.69
2021-03-02T01:49:41Z,1555.69
2021-03-02T01:51:43Z,1562.58
2021-03-02T01:53:46Z,1562.58
2021-03-02T01:55:49Z,1562.58
2021-03-02T01:57:51Z,1566.48
2021-03-02T01:59:55Z,1570.06
2021-03-02T02:01:58Z,1570.06
2021-03-02T02:04:01Z,1571.35
2021-03-02T02:06:04Z,1571.35
2021-03-02T02:08:07Z,1571.35
2021-03-02T02:10:10Z,1571.35
2021-03-02T02:12:13Z,1562.5
2021-03-02T02:14:15Z,1562.5
2021-03-02T02:16:18Z,1562.5
2021-03-02T02:18:21Z,1571.6
2021-03-02T02:20:24Z,1571.6
2021-03-02T02:22:26Z,1577.17
2021-03-02T02:24:29Z,1577.17
2021-03-02T02:26:32Z,1570.34
2021-03-02T02:28:35Z,1570.34
2021-03-02T02:30:38Z,1568.11
2021-03-02T02:32:41Z,1568.11
2021-03-02T02:34:44Z,1574.18
2021-03-02T02:36:46Z,1574.18
2021-03-02T02:38:49Z,1581.9
2021-03-02T02:40:51Z,1583.63
2021-03-02T02:42:54Z,1583.63
2021-03-02T02:45:00Z,1585.35
2021-03-02T02:47:04Z,1584.32
2021-03-02T02:49:07Z,1580.79
2021-03-02T02:51:10Z,1580.96
2021-03-02T02:53:14Z,1583.52
2021-03-02T02:55:16Z,1583.52
2021-03-02T02:57:19Z,1584.1
2021-03-02T02:59:22Z,1580.95
2021-03-02T03:01:25Z,1573.92
2021-03-02T03:03:27Z,1573.92
2021-03-02T03:05:30Z,1568.39
2021-03-02T03:07:33Z,1568.39
2021-03-02T03:09:36Z,1568.39
2021-03-02T03:11:38Z,1570.09
2021-03-02T03:13:41Z,1570.09
2021-03-02T03:15:44Z,1575.58
2021-03-02T03:17:47Z,1575.58
2021-03-02T03:19:54Z,1575.58
2021-03-02T03:21:56Z,1573.15
2021-03-02T03:24:02Z,1573.15
2021-03-02T03:26:05Z,1569.14
2021-03-02T03:28:07Z,1569.14
2021-03-02T03:30:10Z,1562.6
2021-03-02T03:32:12Z,1562.6
2021-03-02T03:34:15Z,1560.61
2021-03-02T03:36:18Z,1560.61
2021-03-02T03:38:20Z,1556.52
2021-03-02T03:40:23Z,1556.52
2021-03-02T03:42:26Z,1555.2
2021-03-02T03:44:28Z,1555.2
2021-03-02T03:46:31Z,1552.2
2021-03-02T03:48:34Z,1552.2
2021-03-02T03:50:37Z,1552.2
2021-03-02T03:52:39Z,1550.41
2021-03-02T03:54:42Z,1550.41
2021-03-02T03:56:46Z,1556.46
2021-03-02T03:58:48Z,1556.71
2021-03-02T04:00:51Z,1556.71
2021-03-02T04:02:54Z,1556.53
2021-03-02T04:04:56Z,1556.53
2021-03-02T04:06:59Z,1556.53
2021-03-02T04:09:08Z,1556.53
2021-03-02T04:11:10Z,1561.24
2021-03-02T04:13:13Z,1563.23
2021-03-02T04:15:15Z,1563.23
2021-03-02T04:17:18Z,1563.23
2021-03-02T04:19:20Z,1559.06
2021-03-02T04:21:23Z,1559.06
2021-03-02T04:23:26Z,1559.06
2021-03-02T04:25:29Z,1560.64
2021-03-02T04:27:32Z,1560.64
2021-03-02T04:29:35Z,1559.95
2021-03-02T04:31:38Z,1559.95
2021-03-02T04:33:40Z,1559.95
2021-03-02T04:35:43Z,1558.63
2021-03-02T04:37:46Z,1558.63
2021-03-02T04:39:49Z,1558.63
2021-03-02T04:41:52Z,1561.93
2021-03-02T04:43:55Z,1561.93
2021-03-02T04:45:58Z,1567.32
2021-03-02T04:48:00Z,1567.32
2021-03-02T04:50:03Z,1572.44
2021-03-02T04:52:07Z,1572.44
2021-03-02T04:54:09Z,1572.44
2021-03-02T04:56:12Z,1569.83
2021-03-02T04:58:15Z,1569.83
2021-03-02T05:00:17Z,1573.62
2021-03-02T05:02:19Z,1573.62
2021-03-02T05:04:23Z,1573.62
2021-03-02T05:06:25Z,1575.82
2021-03-02T05:08:28Z,1575.82
2021-03-02T05:10:31Z,1575.82
2021-03-02T05:12:33Z,1573.33
2021-03-02T05:14:36Z,1573.33
2021-03-02T05:16:39Z,1576.45
2021-03-02T05:18:43Z,1576.45
2021-03-02T05:20:45Z,1580.5
2021-03-02T05:22:48Z,1580.5
2021-03-02T05:24:51Z,1580.5
2021-03-02T05:26:54Z,1578.79
2021-03-02T05:28:56Z,1578.79
2021-03-02T05:30:59Z,1574.53
2021-03-02T05:33:01Z,1574.53
2021-03-02T05:35:04Z,1571.56
2021-03-02T05:37:08Z,1571.56
2021-03-02T05:39:10Z,1571.56
2021-03-02T05:41:13Z,1571.65
2021-03-02T05:43:16Z,1571.65
2021-03-02T05:45:18Z,1571.65
2021-03-02T05:47:21Z,1571.97
2021-03-02T05:49:24Z,1571.97
2021-03-02T05:51:28Z,1571.97
2021-03-02T05:53:30Z,1571.97
2021-03-02T05:55:33Z,1565.27
2021-03-02T05:57:37Z,1565.27
2021-03-02T05:59:39Z,1565.27
2021-03-02T06:01:43Z,1565.27
2021-03-02T06:03:45Z,1565.27
2021-03-02T06:05:48Z,1565.27
2021-03-02T06:07:50Z,1559.37
2021-03-02T06:09:53Z,1559.37
2021-03-02T06:11:56Z,1559.37
2021-03-02T06:13:59Z,1559.37
2021-03-02T06:16:01Z,1559.37
2021-03-02T06:18:04Z,1550.76
2021-03-02T06:20:07Z,1549.39
2021-03-02T06:22:10Z,1549.39
2021-03-02T06:24:15Z,1545.23
2021-03-02T06:26:18Z,1547.35
2021-03-02T06:28:20Z,1547.35
2021-03-02T06:30:23Z,1551.15
