block,price,ts,started_at
13408508,346781853502,1634104513,1634104513
13442208,379322982753,1634565358,1634565358
13449104,380837350906,1634655877,1634655877
13449105,380837350906,1634655877,1634655877
13449106,380837350906,1634655877,1634655877
13449107,380837350906,1634655877,1634655877
13449108,380837350906,1634655877,1634655877
13449109,380837350906,1634655877,1634655877
13449110,380837350906,1634655877,1634655877
13449111,380837350906,1634655877,1634655877
13449112,380837350906,1634655877,1634655877
13449113,380837350906,1634655877,1634655877
13449114,380837350906,1634655877,1634655877
13449115,380837350906,1634655877,1634655877
13449116,380837350906,1634655877,1634655877
13449117,380837350906,1634655877,1634655877
13449118,380837350906,1634655877,1634655877
13449119,380837350906,1634655877,1634655877
13449120,380837350906,1634655877,1634655877
13449121,380837350906,1634655877,1634655877
13449122,380837350906,1634655877,1634655877
13449123,380837350906,1634655877,1634655877
13449124,380837350906,1634655877,1634655877
13449125,379243405561,1634658957,1634658957
13449126,379243405561,1634658957,1634658957
13449127,379243405561,1634658957,1634658957
13449128,379243405561,1634658957,1634658957
13449129,379243405561,1634658957,1634658957
13449130,379243405561,1634658957,1634658957
13449131,379243405561,1634658957,1634658957
13449132,379252000000,1634659063,1634659063
13449133,379252000000,1634659063,1634659063
13449134,379252000000,1634659063,1634659063
13449135,379252000000,1634659063,1634659063
13449136,379252000000,1634659063,1634659063
13449137,379252000000,1634659063,1634659063
13449138,379252000000,1634659063,1634659063
13449139,379252000000,1634659063,1634659063
13449140,379252000000,1634659063,1634659063
13449141,379252000000,1634659063,1634659063
13449142,379252000000,1634659063,1634659063
13449143,379252000000,1634659063,1634659063
13449144,379252000000,1634659063,1634659063
13449145,379252000000,1634659063,1634659063
13449146,379252000000,1634659063,1634659063
13449147,379252000000,1634659063,1634659063
13449148,379252000000,1634659063,1634659063
13449149,379252000000,1634659063,1634659063
13449150,379252000000,1634659063,1634659063
13449151,379252000000,1634659063,1634659063
13449152,379252000000,1634659063,1634659063
13449153,379252000000,1634659063,1634659063
13449154,379252000000,1634659063,1634659063
13449155,379252000000,1634659063,1634659063
13449156,379252000000,1634659063,1634659063
13449157,379252000000,1634659063,1634659063
13449158,379252000000,1634659063,1634659063
13449159,379252000000,1634659063,1634659063
13449160,379252000000,1634659063,1634659063
13449161,379252000000,1634659063,1634659063
13449162,379252000000,1634659063,1634659063
13449163,379252000000,1634659063,1634659063
13449164,379252000000,1634659063,1634659063
13449165,379252000000,1634659063,1634659063
13449166,379252000000,1634659063,1634659063
13449167,379252000000,1634659063,1634659063
13449168,379252000000,1634659063,1634659063
13449169,379252000000,1634659063,1634659063
13449170,379252000000,1634659063,1634659063
13449171,379252000000,1634659063,1634659063
13449172,379252000000,1634659063,1634659063
13449173,379252000000,1634659063,1634659063
13449174,379252000000,1634659063,1634659063
13449175,379252000000,1634659063,1634659063
13449176,379252000000,1634659063,1634659063
13449177,379252000000,1634659063,1634659063
13449178,379252000000,1634659063,1634659063
13449179,379252000000,1634659063,1634659063
13449180,379252000000,1634659063,1634659063
13449181,379252000000,1634659063,1634659063
13449182,379252000000,1634659063,1634659063
13449183,379252000000,1634659063,1634659063
13449184,379252000000,1634659063,1634659063
13449185,379252000000,1634659063,1634659063
13449186,379252000000,1634659063,1634659063
13449187,379252000000,1634659063,1634659063
13449188,379252000000,1634659063,1634659063
13449189,379252000000,1634659063,1634659063
13449190,379252000000,1634659063,1634659063
13449191,379252000000,1634659063,1634659063
13449192,379252000000,1634659063,1634659063
13449193,379252000000,1634659063,1634659063
13449194,379252000000,1634659063,1634659063
13449195,379252000000,1634659063,1634659063
13449196,379252000000,1634659063,1634659063
13449197,379252000000,1634659063,1634659063
13449198,379252000000,1634659063,1634659063
13449199,379252000000,1634659063,1634659063
13449200,379252000000,1634659063,1634659063
13449201,379252000000,1634659063,1634659063
13449202,379252000000,1634659063,1634659063
13449203,379252000000,1634659063,1634659063
13449204,379252000000,1634659063,1634659063
13449205,379252000000,1634659063,1634659063
13449206,379252000000,1634659063,1634659063
13449207,379252000000,1634659063,1634659063
13449208,379252000000,1634659063,1634659063
13449209,379252000000,1634659063,1634659063
13449210,379252000000,1634659063,1634659063
13449211,379252000000,1634659063,1634659063
13449212,379252000000,1634659063,1634659063
13449213,379252000000,1634659063,1634659063
13449214,379252000000,1634659063,1634659063
13449215,379252000000,1634659063,1634659063
13449216,379252000000,1634659063,1634659063
13449217,379252000000,1634659063,1634659063
13449218,379252000000,1634659063,1634659063
13449219,379252000000,1634659063,1634659063
13449220,379252000000,1634659063,1634659063
13449221,379252000000,1634659063,1634659063
13449222,379252000000,1634659063,1634659063
13449223,379252000000,1634659063,1634659063
13449224,379252000000,1634659063,1634659063
13449225,379252000000,1634659063,1634659063
13449226,379252000000,1634659063,1634659063
13449227,379252000000,1634659063,1634659063
13449228,379252000000,1634659063,1634659063
13449229,379252000000,1634659063,1634659063
13449230,379252000000,1634659063,1634659063
13449231,379252000000,1634659063,1634659063
13449232,379252000000,1634659063,1634659063
13449233,379252000000,1634659063,1634659063
13449234,379252000000,1634659063,1634659063
13449235,379252000000,1634659063,1634659063
13449236,379252000000,1634659063,1634659063
13449237,379252000000,1634659063,1634659063
13449238,379252000000,1634659063,1634659063
13449239,379252000000,1634659063,1634659063
13449240,379252000000,1634659063,1634659063
13449241,379252000000,1634659063,1634659063
13449242,379252000000,1634659063,1634659063
13449243,379252000000,1634659063,1634659063
13449244,379252000000,1634659063,1634659063
13449245,379252000000,1634659063,1634659063
13449246,379252000000,1634659063,1634659063
13449247,379252000000,1634659063,1634659063
13449248,379252000000,1634659063,1634659063
13449249,379252000000,1634659063,1634659063
13449250,379252000000,1634659063,1634659063
13449251,379252000000,1634659063,1634659063
13449252,379252000000,1634659063,1634659063
13449253,379252000000,1634659063,1634659063
13449254,379252000000,1634659063,1634659063
13449255,379252000000,1634659063,1634659063
13449256,379252000000,1634659063,1634659063
13449257,379252000000,1634659063,1634659063
13449258,379252000000,1634659063,1634659063
13449259,379252000000,1634659063,1634659063
13449260,379252000000,1634659063,1634659063
13449261,379252000000,1634659063,1634659063
13449262,379252000000,1634659063,1634659063
13449263,379252000000,1634659063,1634659063
13449264,379252000000,1634659063,1634659063
13449265,379252000000,1634659063,1634659063
13449266,379252000000,1634659063,1634659063
13449267,379252000000,1634659063,1634659063
13449268,379252000000,1634659063,1634659063
13449269,379252000000,1634659063,1634659063
13449270,379252000000,1634659063,1634659063
13449271,379252000000,1634659063,1634659063
13449272,379252000000,1634659063,1634659063
13449273,379252000000,1634659063,1634659063
13449274,379252000000,1634659063,1634659063
13449275,379252000000,1634659063,1634659063
13449276,379252000000,1634659063,1634659063
13449277,379252000000,1634659063,1634659063
13449278,379252000000,1634659063,1634659063
13449279,379252000000,1634659063,1634659063
13449280,379252000000,1634659063,1634659063
13449281,379252000000,1634659063,1634659063
13449282,379252000000,1634659063,1634659063
13449283,379252000000,1634659063,1634659063
13449284,379252000000,1634659063,1634659063
13449285,379252000000,1634659063,1634659063
13449286,379252000000,1634659063,1634659063
13449287,379252000000,1634659063,1634659063
13449288,379252000000,1634659063,1634659063
13449289,379252000000,1634659063,1634659063
13449290,379252000000,1634659063,1634659063
13449291,379252000000,1634659063,1634659063
