time,rai_usd
2021-10-20T00:07:53Z,3.049349396
2021-10-20T00:38:17Z,3.041487255
2021-10-20T00:39:49Z,3.04129894
2021-10-20T00:43:44Z,3.039298096
2021-10-20T00:45:25Z,3.037422795
2021-10-20T00:47:16Z,3.044343362
2021-10-20T00:49:36Z,3.028934476
2021-10-20T01:07:19Z,3.03748997
2021-10-20T01:31:33Z,3.037271
2021-10-20T01:40:31Z,3.036481141
2021-10-20T01:41:58Z,3.030435988
2021-10-20T01:49:05Z,3.020902946
2021-10-20T02:02:40Z,3.020629233
2021-10-20T02:07:05Z,3.019213744
2021-10-20T02:13:22Z,3.01642969
2021-10-20T02:26:11Z,3.01622636
2021-10-20T02:28:04Z,3.015295735
2021-10-20T02:35:55Z,3.012865254
2021-10-20T02:45:40Z,3.02395155
2021-10-20T02:54:51Z,3.034590399
2021-10-20T03:27:00Z,3.029176826
2021-10-20T03:36:38Z,3.018765504
2021-10-20T04:09:09Z,3.018600743
2021-10-20T04:12:15Z,3.019440239
2021-10-20T04:13:45Z,3.02032681
2021-10-20T04:17:57Z,3.020789709
2021-10-20T04:18:47Z,3.02042841
2021-10-20T04:40:52Z,3.025159647
2021-10-20T04:50:03Z,3.026846573
2021-10-20T04:57:56Z,3.028282421
2021-10-20T05:00:25Z,3.028462883
2021-10-20T05:02:26Z,3.02850996
2021-10-20T05:05:57Z,3.0294515
2021-10-20T05:12:36Z,3.029930116
2021-10-20T05:14:32Z,3.030251808
2021-10-20T05:19:52Z,3.032699812
2021-10-20T05:22:33Z,3.027489958
2021-10-20T05:25:10Z,3.026964265
2021-10-20T05:27:20Z,3.026658265
2021-10-20T05:29:22Z,3.026689649
2021-10-20T05:31:31Z,3.025387186
2021-10-20T05:34:59Z,3.027325189
2021-10-20T05:37:09Z,3.026446418
2021-10-20T05:38:20Z,3.019745793
2021-10-20T05:47:15Z,3.017643021
2021-10-20T05:50:53Z,3.026124519
2021-10-20T05:52:41Z,3.025415878
2021-10-20T06:05:43Z,3.027533926
2021-10-20T06:07:21Z,3.03049447
2021-10-20T06:11:34Z,3.046612111
2021-10-20T06:18:18Z,3.030218888
2021-10-20T06:32:12Z,3.024825344
2021-10-20T06:35:08Z,3.020211305
2021-10-20T06:43:17Z,3.024116703
2021-10-20T06:46:07Z,3.023053742
2021-10-20T06:52:47Z,3.022573441
2021-10-20T06:57:13Z,3.022455334
2021-10-20T07:05:05Z,3.024305674
2021-10-20T07:09:42Z,3.024793849
2021-10-20T07:11:37Z,3.026234752
2021-10-20T07:14:02Z,3.02887247
2021-10-20T07:20:01Z,3.033455014
2021-10-20T07:28:01Z,3.034305383
2021-10-20T07:29:29Z,3.034297509
2021-10-20T07:31:46Z,3.03477781
2021-10-20T07:35:18Z,3.038722577
2021-10-20T07:36:30Z,3.038092674
2021-10-20T07:37:02Z,3.033179431
2021-10-20T07:44:16Z,3.031352713
2021-10-20T07:50:25Z,3.037880082
2021-10-20T07:55:17Z,3.037683237
2021-10-20T07:55:33Z,3.039744539
2021-10-20T08:09:16Z,3.042122378
2021-10-20T08:16:00Z,3.041807432
2021-10-20T08:17:41Z,3.041523981
2021-10-20T08:19:54Z,3.044838784
2021-10-20T08:25:38Z,3.045988335
2021-10-20T08:27:54Z,3.04766542
2021-10-20T08:37:43Z,3.04928739
2021-10-20T08:45:16Z,3.04824807
2021-10-20T08:46:57Z,3.04645288
2021-10-20T08:48:25Z,3.045626148
2021-10-20T08:50:59Z,3.034327475
2021-10-20T09:10:12Z,3.03892568
2021-10-20T09:12:25Z,3.036965144
2021-10-20T09:14:28Z,3.037571414
2021-10-20T09:15:22Z,3.039547698
2021-10-20T09:21:25Z,3.037634403
2021-10-20T09:27:50Z,3.035925824
2021-10-20T09:30:14Z,3.034666041
2021-10-20T09:32:45Z,3.03472903
2021-10-20T09:35:56Z,3.037949349
2021-10-20T09:44:49Z,3.038484757
2021-10-20T09:49:15Z,3.036563588
2021-10-20T09:50:00Z,3.037524172
2021-10-20T09:52:57Z,3.037776129
2021-10-20T09:54:46Z,3.039169763
2021-10-20T10:00:08Z,3.040657881
2021-10-20T10:00:21Z,3.041618465
2021-10-20T10:03:56Z,3.04405142
2021-10-20T10:05:43Z,3.045468675
2021-10-20T10:11:59Z,3.044452975
2021-10-20T10:18:22Z,3.044193145
2021-10-20T10:19:26Z,3.046035371
2021-10-20T10:21:08Z,3.043640621
2021-10-20T10:28:11Z,3.043091652
2021-10-20T10:28:37Z,3.041067042
2021-10-20T10:31:14Z,3.039901119
2021-10-20T10:34:43Z,3.030182085
2021-10-20T10:42:47Z,3.027036016
