,block,price,ts,started_at
0,12000000,176975000000,1615234693,1615234667
1,12006600,183714120624,1615323323,1615323288
2,12013200,178977974859,1615411523,1615411498
3,12019800,183887940991,1615498534,1615498353
4,12026400,176445000000,1615587858,1615587763
5,12033000,191089734556,1615674874,1615674795
6,12039600,187879885669,1615762651,1615762507
7,12046200,180800314991,1615851407,1615851235
8,12052800,179815941516,1615937522,1615937341
9,12059400,182875312279,1616026815,1616026804
10,12066000,175735000000,1616114511,1616114379
11,12072600,181707395442,1616201763,1616201675
12,12079200,180556914844,1616288737,1616288617
13,12085800,176340000000,1616378125,1616378077
14,12092400,170660714633,1616465773,1616465694
15,12099000,167849631483,1616552399,1616552338
16,12105600,157776139526,1616640991,1616640921
17,12112200,162275000000,1616729153,1616729086
18,12118800,169275000000,1616815035,1616814943
19,12125400,171263832018,1616903835,1616903681
20,12132000,169617077540,1616990173,1616990099
21,12138600,180720074564,1617080177,1617080083
22,12145200,182789000000,1617166522,1617166499
23,12151800,191478035280,1617252996,1617252921
24,12158400,199176657446,1617342984,1617342889
25,12165000,211483128357,1617430999,1617430981
26,12171600,201595000000,1617518101,1617518052
27,12178200,201607000000,1617606302,1617606253
28,12184800,212187460399,1617694345,1617694288
29,12191400,207345372318,1617779325,1617779325
30,12198000,202729709304,1617868845,1617868845
31,12204600,207794880508,1617955229,1617955229
32,12211200,216224000000,1618044914,1618044914
33,12217800,213284165934,1618132962,1618132962
34,12224400,218369000000,1618217760,1618217760
35,12231000,220206215061,1618306306,1618306306
36,12237600,234301937326,1618394127,1618394127
37,12244200,243445635696,1618482820,1618482820
38,12250800,237355000000,1618570521,1618570521
39,12257400,241118138469,1618658959,1618658959
40,12264000,208298000000,1618747507,1618747507
41,12270600,223334234196,1618836654,1618836654
42,12277200,218338776258,1618923455,1618923455
43,12283800,237229000000,1619009728,1619009728
44,12290400,257000931698,1619098984,1619098984
45,12297000,227054226725,1619188326,1619188326
46,12303600,221470497962,1619274844,1619274844
47,12310200,234593000000,1619362526,1619362526
48,12316800,248259065839,1619450166,1619450166
49,12323400,265880259629,1619538953,1619538953
50,12330000,269540378966,1619627088,1619627088
51,12336600,272923810685,1619715689,1619715689
52,12343200,275954373294,1619801701,1619801701
