,block,price
164,12016400,3017338127744698833014999386
165,12016500,3017379425801319203449255838
166,12016600,3017411413619523605471015324
167,12016700,3017455197495425697421691148
168,12016800,3017490070821756315403910885
169,12016900,3017534369952571977987881677
170,12017000,3017567530462564807781672041
171,12017100,3017603690400425089587783094
172,12017200,3017648278680124449592514174
173,12017300,3017705143675751778162317777
174,12017400,3017754673326990431636986160
175,12017500,3017804576203744361675686128
176,12017600,3017851575040740421272872608
177,12017700,3017898760821798604701331241
178,12017800,3017949299212971742207894601
179,12017900,3017995220238881553927403425
180,12018000,3018050043335685195919226166
181,12018100,3018101105689103870299674215
182,12018200,3018148779563281835969201695
183,12018300,3018181543848011345753094302
184,12018400,3018207183977183060298315038
185,12018500,3018228441809715463667574797
186,12018600,3018251809232079933492882632
187,12018700,3018279013867662330224466537
188,12018800,3018306000526505861189667371
189,12018900,3018330005034980675869290200
190,12019000,3018351827481075581327272647
191,12019100,3018381269847960702407894872
192,12019200,3018405384069609454080642150
193,12019300,3018428352772083806777288183
194,12019400,3018445377318613204088126599
195,12019500,3018455737662577908100837767
196,12019600,3018468696634676667090095401
197,12019700,3018479311823653968593860968
198,12019800,3018491693427242656948331681
199,12019900,3018502011469030010511616280
200,12020000,3018514444119320451738368448
201,12020100,3018523513871918469893674311
202,12020200,3018535054916732772451764738
203,12020300,3018547640565569474819137896
204,12020400,3018559478936323270020538208
205,12020500,3018559736502231657864213173
206,12020600,3018549018956982060289218481
207,12020700,3018539114252689159459342576
208,12020800,3018529964837949450673482703
209,12020900,3018522275610688227992005408
210,12021000,3018512104857477728426604708
211,12021100,3018502854824555215150271244
212,12021200,3018492360459162389096092013
213,12021300,3018483355042416397379120660
214,12021400,3018473141263607559626691326
215,12021500,3018463876964550931865046910
216,12021600,3018448498768582767386329914
217,12021700,3018425955806561048877467537
218,12021800,3018404057601960227700087184
219,12021900,3018382822045877458659460608
220,12022000,3018358811365211108717898313
221,12022100,3018336609265207678499730071
222,12022200,3018314174567141456676182415
223,12022300,3018290307669180535348213348
224,12022400,3018262985405529598241495780
225,12022500,3018237238964030290244717637
226,12022600,3018211456933931332733041655
227,12022700,3018188007184247803055608547
228,12022800,3018182104501251243997287445
229,12022900,3018175520258457073735927502
230,12023000,3018168524516226614782971193
231,12023100,3018163719239444239708186634
232,12023200,3018158339567556134567283928
233,12023300,3018153431429059119719994488
234,12023400,3018146320000628628773234737
235,12023500,3018139748695582015252311135
236,12023600,3018133756089362821877472940
237,12023700,3018127364846485803636599175
238,12023800,3018124324902621412310888171
239,12023900,3018125514356198666423491987
240,12024000,3018126672329695228138436764
241,12024100,3018127876248239509716126284
242,12024200,3018128923615222369918340593
243,12024300,3018130120728051642340676800
244,12024400,3018131229355352546003189116
245,12024500,3018132517507616570692199385
246,12024600,3018133635494901666714050926
247,12024700,3018134651383250445931914127
248,12024800,3018135800001142096708471905
249,12024900,3018139697307183109107296910
250,12025000,3018156157966260757347427284
251,12025100,3018170746285592676540349632
252,12025200,3018186164236686470582805669
253,12025300,3018199460949536194045821138
254,12025400,3018213871713387632697084339
255,12025500,3018229135821188964482483432
256,12025600,3018246390992528921740946913
257,12025700,3018261098259710097574341375
258,12025800,3018276978870415011218518671
259,12025900,3018291792948264740792623895
260,12026000,3018308882558791487640518210
261,12026100,3018323515879931028823258556
262,12026200,3018338103046450416539338142
263,12026300,3018350755771278107604792617
264,12026400,3018364443778772787611818293
265,12026500,3018378989315422685772533693
266,12026600,3018392342828108098482629386
267,12026700,3018404953952277754268948366
268,12026800,3018418150724036707570798524
269,12026900,3018430646927975176227551927
270,12027000,3018444262097767040766553447
271,12027100,3018461004030524241162595098
272,12027200,3018472806831474854100407059
273,12027300,3018479339832497988841489915
274,12027400,3018485570960727922122370525
275,12027500,3018491825686785168831378881
276,12027600,3018497693631611535632835832
277,12027700,3018505467260972993982499278
278,12027800,3018511953162440858562088004
279,12027900,3018518396624535287682022249
280,12028000,3018524934441274828171422166
281,12028100,3018530906225649364647949456
282,12028200,3018536510090925935619400476
283,12028300,3018542905637253710859553288
284,12028400,3018545571446894287769077783
285,12028500,3018547917213327528627872993
286,12028600,3018550497928504752160667293
287,12028700,3018553071245978734140758151
288,12028800,3018555535416888479587253780
289,12028900,3018557936690476009056924807
290,12029000,3018560097468341684054319741
291,12029100,3018561990000225840587232628
292,12029200,3018564302479700857459356573
293,12029300,3018566646410704597428377054
294,12029400,3018568918194029968721494610
295,12029500,3018565684460999002908380935
296,12029600,3018556382400749836550008102
297,12029700,3018546127712099729352189261
298,12029800,3018537975701783618464750783
299,12029900,3018529490285381929386142755
300,12030000,3018521447194181495053243957
301,12030100,3018510859198170601900057463
302,12030200,3018500509399919273577182590
303,12030300,3018491847170016763357144192
304,12030400,3018482558946403650782060165
305,12030500,3018474311844337389070007242
306,12030600,3018465459163316950659780298
307,12030700,3018440036156179968051830605
308,12030800,3018409386450150372654019997
309,12030900,3018378929969521552001993428
310,12031000,3018348787278609897266064616
311,12031100,3018319416530141694464424933
312,12031200,3018288261664335660933882605
313,12031300,3018258119878872514192108563
314,12031400,3018220840934976034205691395
315,12031500,3018193689807681158866806031
316,12031600,3018163886542401729468842855
317,12031700,3018136663590439939690005222
318,12031800,3018098246905736156991118743
319,12031900,3018049149533446313657619204
320,12032000,3018002390873820301601414525
321,12032100,3017953756050717290277956543
322,12032200,3017909073292009253718152651
323,12032300,3017861394850922011641650909
324,12032400,3017820434139818105500758440
325,12032500,3017774172911967840776098336
326,12032600,3017728241647127291782111396
327,12032700,3017679775866201229521310430
328,12032800,3017631837652974394581510010
329,12032900,3017586692147615496407704165
330,12033000,3017526781067589032253210632
331,12033100,3017460707046601245675095916
332,12033200,3017386330928194392142956895
333,12033300,3017320209041804671313066545
334,12033400,3017259488215975164823777600
335,12033500,3017192299397472338820821973
336,12033600,3017118184581881650746359950
337,12033700,3017055685049296310557502528
338,12033800,3016992779329161674294593781
339,12033900,3016921878259807553814158618
340,12034000,3016845529043348604481070697
341,12034100,3016775838681245608818630281
342,12034200,3016693837918771626196608840
343,12034300,3016621563278698838048588874
344,12034400,3016550710682785916652741442
345,12034500,3016483683583031049730008942
346,12034600,3016406006117877346406109756
347,12034700,3016326145718069587758968719
348,12034800,3016246997517470937514999643
349,12034900,3016176809166850525942288549
350,12035000,3016103727623876115950845134
351,12035100,3016034634968448505062937224
352,12035200,3015969279280164451081302117
353,12035300,3015913974314981789802043572
354,12035400,3015870964642642477485557835
355,12035500,3015812101580930195723369432
356,12035600,3015762967120156693565688841
357,12035700,3015709156076512862614852860
358,12035800,3015652655514063531886392351
359,12035900,3015599757045872556381327231
360,12036000,3015538457243041728565493538
361,12036100,3015478979827338918607560240
362,12036200,3015422524966143831236135393
363,12036300,3015374465815688485235853291
364,12036400,3015320139992883756321187158
365,12036500,3015273212077633580605173128
366,12036600,3015232580799604716938642913
367,12036700,3015192018875959509152384340
