,block,price
0,12000000,3022808657486628987514678542
1,12006600,3017672223523382869905417812
2,12013200,3016353519730939642011541465
3,12019800,3018491693427242656948331681
4,12026400,3018364443778772787611818293
5,12033000,3017526781067589032253210632
6,12039600,3014406719364018807675122541
7,12046200,3013934856342876321759895019
8,12052800,3014584829687555300530922646
9,12059400,3015675705106109043082030276
10,12066000,3016171433212893424250568705
11,12072600,3017252507271536475676683983
12,12079200,3017563432271306741266608013
13,12085800,3019091871208675967686752300
14,12092400,3020661356669410869635792367
15,12099000,3023105413407879279254809599
16,12105600,3025590586236226687199707891
17,12112200,3028634851650824676781678764
18,12118800,3030065545346893252210415404
19,12125400,3031136408252071168696784596
20,12132000,3032644443490404173622046778
21,12138600,3033565612889619831814130891
22,12145200,3033910852984765158986340000
23,12151800,3034262739422679342983326185
24,12158400,3034036374151370811028995339
25,12165000,3032724259048277199783680727
26,12171600,3031202202815374147028290520
27,12178200,3030769364524524214647631011
28,12184800,3029971426273238692362372688
29,12191400,3028460929003794961095414435
30,12198000,3028710201780303870420042103
31,12204600,3028094169828560261384031711
32,12211200,3026675935043595572143432342
33,12217800,3025162984007548360971322444
34,12224400,3024203287507008354623617751
35,12231000,3023487843375207981429944993
36,12237600,3021480129131514475926501207
37,12244200,3018715472122195951911814704
38,12250800,3015905905129997112527095214
39,12257400,3014986616633862474594917482
40,12264000,3014678262432655359509910472
41,12270600,3015298648396181536679996616
42,12277200,3016318683742784996557909486
43,12283800,3016575693287810078415989939
44,12290400,3016026486167118020944379829
45,12297000,3015774935358490832178658190
46,12303600,3016873113612597673610680221
47,12310200,3017810474049061816053687494
48,12316800,3017299898085645320150480074
49,12323400,3016365722717387884984276506
50,12330000,3014966183361319836604633283
51,12336600,3013759983723721830030850643
52,12343200,3013197087501374883567795861
53,12349800,3012407916240781910703652397
54,12356400,3011051896942974662854803458
55,12363000,3009172194108324308221836436
56,12369600,3006618732733732680665815484
57,12376200,3006251396576081282919584062
58,12382800,3005778217099050660741171954
59,12389400,3005428375688706588240458906
60,12396000,3005424605984026962942708150
61,12402600,3005243096976650441933655684
62,12409200,3004757309158207688278438039
63,12415800,3004447748874390802303689456
64,12422400,3003595156960352990755833116
65,12429000,3004135146020302421880974814
66,12435600,3004860126992805453960733931
67,12442200,3004907254266230918099479430
68,12448800,3005542937986440892195891295
69,12455400,3006296782206924973133949595
70,12462000,3006532824136091137454695151
71,12468600,3008007662396415855849968257
72,12475200,3009079987004976211170718144
73,12481800,3008723855574703385781706301
74,12488400,3008708742334219352727209624
75,12495000,3008660339856339730671152469
76,12501600,3007435759033002237783546951
77,12508200,3006694565360413985747556832
78,12514800,3006943301441878926286018488
79,12521400,3006861593312562848316300883
80,12528000,3007081168773082872544023889
81,12534600,3007392804692658945613364320
82,12541200,3007310275579350465637442854
83,12547800,3007005280605518508275500581
84,12554400,3007221750043481125565082526
85,12561000,3007235582973963351778702455
86,12567600,3007226275452338890020973407
87,12574200,3007440995962755531238811301
88,12580800,3007477109068833285047904419
89,12587400,3007399599485027117681631270
90,12594000,3007620126512019132285931834
91,12600600,3008249645674133147795996472
92,12607200,3008311886390272159945773373
93,12613800,3008902661021443237402082186
94,12620400,3009452611998933140667656033
95,12627000,3009887298968543943429092747
96,12633600,3010205758964073397569771907
97,12640200,3010415413459913709828715575
98,12646800,3010696821787341383122625835
99,12653400,3011465944824661779646522276
100,12660000,3012054301286382414392936933
101,12666600,3012723386772148345306886930
102,12673200,3013491474561978898098440636
103,12679800,3014257603202449838336688273
104,12686400,3015118851044026587367628228
105,12693000,3015105761043750586764639946
106,12699600,3015585510573770186564291072
107,12706200,3015968461383011518204039850
108,12712800,3016421169275000625881313902
109,12719400,3016501406943191734136150774
110,12726000,3016543740895773372732594942
111,12732600,3016643904507453892429877760
112,12739200,3016717298329040845985510674
113,12745800,3016803817356338009045055165
114,12752400,3017195022225481053937679517
115,12759000,3017225666310455218371382077
116,12765600,3017130297944685275594531820
117,12772200,3017383980641326755591621619
118,12778800,3017479224297320412084107428
119,12785400,3017617835553205291205049264
120,12792000,3018292940441161271601455637
121,12798600,3018722656287692418764214248
122,12805200,3019220637204827603002863503
123,12811800,3019529445979682954306095198
124,12818400,3020003169625245950872397668
125,12825000,3020549251833014407714239717
126,12831600,3020747396381918461202893941
127,12838200,3021283812878809138213826934
128,12844800,3021754147725403340017640213
129,12851400,3022034679558110206697524912
130,12858000,3022446751836368158187372343
131,12864600,3023281275068158091760039711
132,12871200,3023386907638999789694298829
133,12877800,3023286678495632238222007006
134,12884400,3023535814227114276439335161
135,12891000,3023594208017671780996801625
136,12897600,3023939082922107767596823179
137,12904200,3023904069733284075885263546
138,12910800,3024416044128698030559487053
139,12917400,3024642575762113190640653525
140,12924000,3024923595022965167433472819
141,12930600,3025139724095077798421414659
142,12937200,3025352145962366662044746037
143,12943800,3025412657319994382333911694
144,12950400,3025631443924128054170065419
145,12957000,3026042524047245958464643203
146,12963600,3025850654021700776147235983
147,12970200,3025834691630409132915518269
148,12976800,3025841072086651589540649858
149,12983400,3025546161423218028499061292
150,12990000,3025647581747689859762712109
151,12996600,3025377694173782353942782982
152,13003200,3025395691327477927126515916
153,13009800,3025384763381722791624068411
154,13016400,3025572484033311269665763352
155,13023000,3025340086007244239374648746
156,13029600,3025376394925913648950962911
157,13036200,3025456900383201194016365474
158,13042800,3025596732561210414663781911
159,13049400,3025842064099923447509544650
160,13056000,3026213254130519392339795470
161,13062600,3026282909190665920143301037
162,13069200,3026320827707979741619072477
163,13075800,3026597858780732540432914232
164,13082400,3026729364477090200716635617
165,13089000,3026752259095120500682597903
166,13095600,3027160279701911216441898347
167,13102200,3027294279725161560364651893
168,13108800,3027583017480347484239323569
169,13115400,3027486916666113107114548326
170,13122000,3027571723041303554698922458
171,13128600,3027745850321855116166777085
172,13135200,3027757210434507477916382215
173,13141800,3027566611956643471902645688
174,13148400,3027351363971191208742832058
175,13155000,3027381184374591113205020610
176,13161600,3027608987580264992316241051
177,13168200,3027819980886847972017728491
178,13174800,3027934318117125896014704593
179,13181400,3028203861602776525406485815
180,13188000,3028638370827209883770617937
181,13194600,3028599221876966576851459314
182,13201200,3029108709733574386773816736
183,13207800,3029404336515134252296841434
184,13214400,3029496469246293563755038325
185,13221000,3029800669969620995170064626
186,13227600,3029857883857309049521276252
187,13234200,3030033654148507739871101316
188,13240800,3030062324436153555288363427
189,13247400,3030366073401359452069486097
190,13254000,3030527640040252571745482805
191,13260600,3030894228710578480746881978
192,13267200,3031162473009756606922026245
193,13273800,3031188319853467243310024267
194,13280400,3031446167449278927925104586
195,13287000,3031462871991460737095316424
196,13293600,3032188713761219358057260191
197,13300200,3032304537678187255884703296
198,13306800,3032370179588435684830600392
199,13313400,3032808516393549299229401144
200,13320000,3033207792616128796661554745
201,13326600,3033485221303101709751329158
202,13333200,3033484158162576740104134803
203,13339800,3033149437110502529587036674
204,13346400,3032969672704435868506686161
205,13353000,3032974040991965145441468001
206,13359600,3032749255048410555254476272
207,13366200,3032631554550463456255493885
208,13372800,3032447107165510905982068281
209,13379400,3032175617787669167423103879
210,13386000,3032080754115041775875645915
211,13392600,3031908027122072423013304138
212,13399200,3031818341213041927894232377
213,13405800,3031794929984642234595059673
214,13412400,3031789259152280041807915188
215,13419000,3031349695658261295848142970
216,13425600,3030843832073449221328143190
217,13432200,3030568548945187730218515397
218,13438800,3030443170112315150077057949
219,13445400,3030333295583875054546891827
220,13452000,3030216008436706071675600986
221,13458600,3029755266329016804748281661
222,13465200,3029455093475151958377440704
223,13471800,3029579500558270827924809261
224,13478400,3029630313352840729923094550
225,13485000,3029750971188113379890805077
226,13491600,3029548777378337921768713611
227,13498200,3029313735996304420505678982
228,13504800,3029426444354004001336397960
229,13511400,3029016916059355387541572079
230,13518000,3028746766199305955077861967
231,13524600,3028910489959990370874540751
232,13531200,3029187728423406592592724317
233,13537800,3029102963355913135093400274
234,13544400,3028633925142932989668636038
235,13551000,3028452535989571353436627703
236,13557600,3028495890231175490518083075
237,13564200,3028470573131785416531943294
238,13570800,3028449352095843025849872381
239,13577400,3028069908734524063414862124
240,13584000,3027797376455144658129414664
241,13590600,3027686597284868438447892995
242,13597200,3027609387202062826999603248
243,13603800,3027533991835283646838582309
244,13610400,3027487506550477474637766197
245,13617000,3027481376492858879142982282
246,13623600,3027530615053283558538113065
247,13630200,3027610758007386498295672760
248,13636800,3027700828296370751093603743
249,13643400,3027741543444773110250824429
250,13650000,3027786133449195513697197380
251,13656600,3027866579076215361231779415
252,13663200,3027971074398300591362430068
253,13669800,3028064696542831408345785149
254,13676400,3028104638981807470010232978
255,13683000,3028186873433815019449220827
256,13689600,3028234403084704576741256933
257,13696200,3028338212115113623484233080
258,13702800,3028604731211006018066754788
259,13709400,3028872451834101905466590573
260,13716000,3029097061438638626407370430
261,13722600,3029205342401711475406077070
262,13729200,3029385669219521346731382919
263,13735800,3029609283489455979301587792
264,13742400,3029898557885117783474269364
265,13749000,3030256340617709576024892584
266,13755600,3030643932112414131716836425
267,13762200,3031033647288436201087944150
268,13768800,3031389631007420342390433416
269,13775400,3031714694291362705771712986
270,13782000,3032009912733474477392013009
271,13788600,3032327832353513760360547341
272,13795200,3032657943125214564889403077
273,13801800,3033002796042178076370136942
274,13808400,3033372846483768175083411398
275,13815000,3033759681737675194160351018
276,13821600,3034134804568400758650673459
277,13828200,3034483663558222446178555733
278,13834800,3034813990997356609273522497
279,13841400,3035157979489554858931424956
280,13848000,3035505948284462276689998648
281,13854600,3035858664860436567463940569
282,13861200,3036210646565694678750789141
283,13867800,3036537482389579008354998783
284,13874400,3036875274225313514854581941
285,13881000,3037165509143601604684527042
286,13887600,3037461781757365138859670207
287,13894200,3037752016160531066216131080
288,13900800,3038077479668601125647507120
289,13907400,3038428984568742167035019201
290,13914000,3038780462232337197288897111
291,13920600,3039099818212820875929841351
292,13927200,3039349019006368173527274181
293,13933800,3039467790774050401770514360
294,13940400,3039449903407576598358576228
295,13947000,3039363916107648175048747973
296,13953600,3039251503389697543365254658
297,13960200,3039134138970829595745532595
298,13966800,3038972955434590357841513856
299,13973400,3038787680198785548741316097
300,13980000,3038634852653502112512276504
301,13986600,3038406549828805464173520010
302,13993200,3038086051244524857230085772
303,13999800,3037589693698117762430933678
304,14006400,3037092876982680105936009996
305,14013000,3036634516416185449189817289
306,14019600,3036199384682155817109903868
307,14026200,3035745187367924878553963422
308,14032800,3035302027794309431518492100
309,14039400,3034889871994839799613880786
310,14046000,3034499995614660157447582485
311,14052600,3034107310734381974914591840
312,14059200,3033734027119725889394226387
313,14065800,3033399614399555487945283268
314,14072400,3033036706906251227265966171
315,14079000,3032554177779460481874979404
316,14085600,3032008424689366846346326935
317,14092200,3031440964149340270618581733
318,14098800,3030840730659579798739699161
319,14105400,3030126521747788606646804857
320,14112000,3029355994491742531269013454
321,14118600,3028679366850804311818149522
322,14125200,3028062236637517298382113898
323,14131800,3027434652026452606403275095
324,14138400,3026860423576823141982825947
325,14145000,3026313796213838829151670624
326,14151600,3025866767979259037937509821
327,14158200,3025507838438717690980604976
328,14164800,3025201778787682064141142390
329,14171400,3024864514248983640631446063
330,14178000,3024509635181488840836526029
331,14184600,3024162637530131955751271766
332,14191200,3023849817691673681751303275
333,14197800,3023576482231590140674888653
334,14204400,3023330072514973787108880606
335,14211000,3023098925901414110977875247
336,14217600,3022818735654713672582279015
337,14224200,3022566120431878044619737064
338,14230800,3022354744293082617269872246
339,14237400,3022186871299526845669380120
340,14244000,3022008490273460101354882450
341,14250600,3021825751782872015775576163
342,14257200,3021589958568640167874754078
343,14263800,3021411545252493154248209962
344,14270400,3021231657066239752380361866
345,14277000,3021022439729704228261255145
346,14283600,3020784318623914925341550218
347,14290200,3020573586388276475426517947
348,14296800,3020345078421224831967207527
349,14303400,3020083504423289698698534145
350,14310000,3019884268113119015739928024
351,14316600,3019750857585705528487790517
352,14323200,3019640877357284382805990350
353,14329800,3019558281535439837473150589
354,14336400,3019429621738549529332372147
355,14343000,3019313735664012917261860257
356,14349600,3019194183849276612365924705
357,14356200,3019075775093839034701616925
358,14362800,3018902747880667747301917158
359,14369400,3018781959790912310148928179
360,14376000,3018737036693292199998679339
361,14382600,3018604725703228825742245413
362,14389200,3018453624784959977842071480
363,14395800,3018319349410090729077914273
364,14402400,3018179953377487404843471401
365,14409000,3018071404445155772193521926
366,14415600,3017976479159040957367763352
367,14422200,3017836647569672467215600958
368,14428800,3017764851698453784847655330
369,14435400,3017694633590896307009995874
370,14442000,3017610651089218297507452915
371,14448600,3017562601320925429040162533
372,14455200,3017484213733540961614673725
373,14461800,3017391725321228141545598071
374,14468400,3017249610451275803802226090
375,14475000,3017074411880010696623803843
376,14481600,3016902814150698356617760800
377,14488200,3016735421504632211642433487
378,14494800,3016608306001973261374840811
379,14501400,3016472272607500298266112406
380,14508000,3016282783398868685365307500
381,14514600,3016090221992795576029377449
382,14521200,3015923047310141955634445782
383,14527800,3015770072362326517283764423
384,14534400,3015598421109310095062398483
385,14541000,3015459358434759018449552212
386,14547600,3015252504557702394666370009
387,14554200,3015052337522753733502109908
388,14560800,3014886200073094955733557484
389,14567400,3014710522115888867754326931
390,14574000,3014537173893732848987861757
391,14580600,3014394041672576951263960313
392,14587200,3014185211366593593429161052
393,14593800,3013963727024896670230919716
394,14600400,3013759204370977642731444816
395,14607000,3013575945039657527715294760
396,14613600,3013341208949574366870504960
397,14620200,3013106803485221285531160681
398,14626800,3012885856578160518559781628
399,14633400,3012679217601157599990382207
400,14640000,3012434026490173205209059453
401,14646600,3012176509073258406244676555
402,14653200,3011925785327761057169579155
403,14659800,3011663997135027744163330435
404,14666400,3011392143529641399784589983
405,14673000,3011048470899364253577098344
406,14679600,3010574096687591996058560718
407,14686200,3010177599559981680615125741
408,14692800,3009868001064574179977098875
409,14699400,3009449157346373026881556665
410,14706000,3009097638668862328036553550
411,14712600,3008835511469886277001663697
412,14719200,3008634611176388773501331617
413,14725800,3008493556548704537696243523
414,14732400,3008319405125806058352191953
415,14739000,3008156996516797249492854495
416,14745600,3008028537812049361093173462
417,14752200,3007964172393482462226195637
